company,percentage,demographics,job_category
anonymous,3.6,Hispanic_or_Latino,Professionals
anonymous,3.7,Hispanic_or_Latino,Professionals
anonymous,3.8,Hispanic_or_Latino,Professionals
anonymous,3.8,Hispanic_or_Latino,Professionals
anonymous,3.8,Hispanic_or_Latino,Professionals
anonymous,3.8,Hispanic_or_Latino,Professionals
anonymous,3.8,Hispanic_or_Latino,Professionals
anonymous,3.8,Hispanic_or_Latino,Professionals
anonymous,3.8,Hispanic_or_Latino,Professionals
anonymous,3.9,Hispanic_or_Latino,Professionals
Salesforce,3.9,Hispanic_or_Latino,Professionals
anonymous,3.9,Hispanic_or_Latino,Professionals
anonymous,3.9,Hispanic_or_Latino,Professionals
anonymous,4,Hispanic_or_Latino,Professionals
anonymous,4,Hispanic_or_Latino,Professionals
PayPal,4,Hispanic_or_Latino,Professionals
anonymous,4,Hispanic_or_Latino,Professionals
anonymous,4.1,Hispanic_or_Latino,Professionals
anonymous,4.1,Hispanic_or_Latino,Professionals
MobileIron,4.1,Hispanic_or_Latino,Professionals
anonymous,4.1,Hispanic_or_Latino,Professionals
Facebook,4.2,Hispanic_or_Latino,Professionals
NetApp,4.2,Hispanic_or_Latino,Professionals
anonymous,4.2,Hispanic_or_Latino,Professionals
anonymous,4.2,Hispanic_or_Latino,Professionals
Twitter,4.3,Hispanic_or_Latino,Professionals
anonymous,4.3,Hispanic_or_Latino,Professionals
anonymous,4.3,Hispanic_or_Latino,Professionals
anonymous,4.3,Hispanic_or_Latino,Professionals
anonymous,4.4,Hispanic_or_Latino,Professionals
anonymous,4.4,Hispanic_or_Latino,Professionals
anonymous,4.4,Hispanic_or_Latino,Professionals
anonymous,4.5,Hispanic_or_Latino,Professionals
Adobe,4.5,Hispanic_or_Latino,Professionals
anonymous,4.5,Hispanic_or_Latino,Professionals
anonymous,4.6,Hispanic_or_Latino,Professionals
anonymous,4.6,Hispanic_or_Latino,Professionals
Google,4.6,Hispanic_or_Latino,Professionals
anonymous,4.6,Hispanic_or_Latino,Professionals
anonymous,4.7,Hispanic_or_Latino,Professionals
Cisco,4.7,Hispanic_or_Latino,Professionals
anonymous,4.7,Hispanic_or_Latino,Professionals
anonymous,4.8,Hispanic_or_Latino,Professionals
anonymous,4.8,Hispanic_or_Latino,Professionals
anonymous,4.8,Hispanic_or_Latino,Professionals
anonymous,4.8,Hispanic_or_Latino,Professionals
anonymous,4.8,Hispanic_or_Latino,Professionals
anonymous,4.9,Hispanic_or_Latino,Professionals
anonymous,4.9,Hispanic_or_Latino,Professionals
anonymous,4.9,Hispanic_or_Latino,Professionals
anonymous,5,Hispanic_or_Latino,Professionals
anonymous,5,Hispanic_or_Latino,Professionals
anonymous,5,Hispanic_or_Latino,Professionals
anonymous,5,Hispanic_or_Latino,Professionals
LinkedIn,5,Hispanic_or_Latino,Professionals
Apple,5.1,Hispanic_or_Latino,Professionals
anonymous,5.1,Hispanic_or_Latino,Professionals
anonymous,5.1,Hispanic_or_Latino,Professionals
Airbnb,5.2,Hispanic_or_Latino,Professionals
anonymous,5.3,Hispanic_or_Latino,Professionals
anonymous,5.3,Hispanic_or_Latino,Professionals
anonymous,5.3,Hispanic_or_Latino,Professionals
anonymous,5.4,Hispanic_or_Latino,Professionals
anonymous,5.4,Hispanic_or_Latino,Professionals
anonymous,5.4,Hispanic_or_Latino,Professionals
anonymous,5.4,Hispanic_or_Latino,Professionals
anonymous,5.4,Hispanic_or_Latino,Professionals
anonymous,5.5,Hispanic_or_Latino,Professionals
anonymous,5.5,Hispanic_or_Latino,Professionals
anonymous,5.6,Hispanic_or_Latino,Professionals
anonymous,5.6,Hispanic_or_Latino,Professionals
anonymous,5.7,Hispanic_or_Latino,Professionals
anonymous,5.7,Hispanic_or_Latino,Professionals
anonymous,5.8,Hispanic_or_Latino,Professionals
anonymous,5.9,Hispanic_or_Latino,Professionals
anonymous,5.9,Hispanic_or_Latino,Professionals
HPE,5.9,Hispanic_or_Latino,Professionals
Intuit,5.9,Hispanic_or_Latino,Professionals
anonymous,6,Hispanic_or_Latino,Professionals
anonymous,6.1,Hispanic_or_Latino,Professionals
anonymous,6.1,Hispanic_or_Latino,Professionals
anonymous,6.1,Hispanic_or_Latino,Professionals
anonymous,6.1,Hispanic_or_Latino,Professionals
anonymous,6.2,Hispanic_or_Latino,Professionals
anonymous,6.2,Hispanic_or_Latino,Professionals
Intel,6.3,Hispanic_or_Latino,Professionals
anonymous,6.3,Hispanic_or_Latino,Professionals
anonymous,6.3,Hispanic_or_Latino,Professionals
anonymous,6.3,Hispanic_or_Latino,Professionals
anonymous,6.3,Hispanic_or_Latino,Professionals
anonymous,6.3,Hispanic_or_Latino,Professionals
anonymous,6.4,Hispanic_or_Latino,Professionals
anonymous,6.4,Hispanic_or_Latino,Professionals
HP Inc.,6.5,Hispanic_or_Latino,Professionals
anonymous,6.6,Hispanic_or_Latino,Professionals
Sanmina,6.6,Hispanic_or_Latino,Professionals
anonymous,6.6,Hispanic_or_Latino,Professionals
anonymous,6.8,Hispanic_or_Latino,Professionals
anonymous,6.8,Hispanic_or_Latino,Professionals
23andMe,7.1,Hispanic_or_Latino,Professionals
anonymous,7.2,Hispanic_or_Latino,Professionals
Lyft,7.2,Hispanic_or_Latino,Professionals
anonymous,7.2,Hispanic_or_Latino,Professionals
anonymous,7.2,Hispanic_or_Latino,Professionals
anonymous,7.5,Hispanic_or_Latino,Professionals
anonymous,7.5,Hispanic_or_Latino,Professionals
anonymous,7.5,Hispanic_or_Latino,Professionals
anonymous,7.6,Hispanic_or_Latino,Professionals
anonymous,7.6,Hispanic_or_Latino,Professionals
anonymous,7.7,Hispanic_or_Latino,Professionals
View,7.8,Hispanic_or_Latino,Professionals
anonymous,7.9,Hispanic_or_Latino,Professionals
anonymous,8.2,Hispanic_or_Latino,Professionals
anonymous,8.2,Hispanic_or_Latino,Professionals
anonymous,8.2,Hispanic_or_Latino,Professionals
anonymous,8.3,Hispanic_or_Latino,Professionals
anonymous,8.3,Hispanic_or_Latino,Professionals
anonymous,8.6,Hispanic_or_Latino,Professionals
anonymous,8.6,Hispanic_or_Latino,Professionals
anonymous,9,Hispanic_or_Latino,Professionals
anonymous,9.6,Hispanic_or_Latino,Professionals
anonymous,9.7,Hispanic_or_Latino,Professionals
anonymous,9.7,Hispanic_or_Latino,Professionals
anonymous,9.9,Hispanic_or_Latino,Professionals
anonymous,11.1,Hispanic_or_Latino,Professionals
anonymous,12.2,Hispanic_or_Latino,Professionals
anonymous,22.6,Hispanic_or_Latino,Professionals
anonymous,31,Hispanic_or_Latino,Professionals
anonymous,6.3,White,Professionals
anonymous,18.6,White,Professionals
anonymous,18.6,White,Professionals
anonymous,23.9,White,Professionals
anonymous,24.3,White,Professionals
anonymous,26.8,White,Professionals
anonymous,28.1,White,Professionals
anonymous,29.5,White,Professionals
anonymous,30.6,White,Professionals
anonymous,33.6,White,Professionals
anonymous,33.7,White,Professionals
anonymous,34.2,White,Professionals
anonymous,35,White,Professionals
anonymous,35.1,White,Professionals
anonymous,35.5,White,Professionals
anonymous,35.7,White,Professionals
anonymous,36.3,White,Professionals
anonymous,36.4,White,Professionals
anonymous,36.6,White,Professionals
anonymous,37.4,White,Professionals
anonymous,37.4,White,Professionals
eBay,37.6,White,Professionals
anonymous,37.7,White,Professionals
anonymous,37.7,White,Professionals
anonymous,37.9,White,Professionals
anonymous,38,White,Professionals
anonymous,38.1,White,Professionals
anonymous,38.4,White,Professionals
anonymous,38.6,White,Professionals
anonymous,38.9,White,Professionals
anonymous,39.2,White,Professionals
anonymous,39.3,White,Professionals
anonymous,39.7,White,Professionals
anonymous,39.8,White,Professionals
anonymous,40,White,Professionals
anonymous,40.1,White,Professionals
anonymous,40.4,White,Professionals
anonymous,40.8,White,Professionals
Nvidia,41.1,White,Professionals
anonymous,41.1,White,Professionals
anonymous,42.5,White,Professionals
anonymous,42.7,White,Professionals
anonymous,43.2,White,Professionals
anonymous,43.5,White,Professionals
PayPal,43.7,White,Professionals
Intel,43.9,White,Professionals
anonymous,44,White,Professionals
LinkedIn,44.2,White,Professionals
anonymous,44.3,White,Professionals
anonymous,44.7,White,Professionals
MobileIron,45.1,White,Professionals
anonymous,45.2,White,Professionals
anonymous,45.2,White,Professionals
anonymous,45.2,White,Professionals
anonymous,45.2,White,Professionals
anonymous,45.4,White,Professionals
Pinterest,46,White,Professionals
anonymous,46.3,White,Professionals
anonymous,46.3,White,Professionals
anonymous,46.3,White,Professionals
anonymous,46.4,White,Professionals
anonymous,46.7,White,Professionals
anonymous,46.7,White,Professionals
anonymous,46.8,White,Professionals
Facebook,47,White,Professionals
Cisco,47.4,White,Professionals
Intuit,48.2,White,Professionals
anonymous,48.4,White,Professionals
anonymous,48.5,White,Professionals
anonymous,48.6,White,Professionals
anonymous,48.8,White,Professionals
anonymous,48.8,White,Professionals
anonymous,49.2,White,Professionals
anonymous,49.3,White,Professionals
anonymous,49.5,White,Professionals
anonymous,49.6,White,Professionals
anonymous,49.8,White,Professionals
anonymous,49.8,White,Professionals
Airbnb,49.9,White,Professionals
anonymous,50,White,Professionals
Apple,50.2,White,Professionals
anonymous,50.3,White,Professionals
Uber,50.5,White,Professionals
anonymous,50.5,White,Professionals
anonymous,50.5,White,Professionals
anonymous,50.6,White,Professionals
anonymous,50.6,White,Professionals
anonymous,50.6,White,Professionals
anonymous,50.8,White,Professionals
anonymous,50.8,White,Professionals
anonymous,50.9,White,Professionals
anonymous,51.1,White,Professionals
anonymous,51.3,White,Professionals
anonymous,51.6,White,Professionals
anonymous,51.8,White,Professionals
anonymous,51.9,White,Professionals
anonymous,51.9,White,Professionals
anonymous,52.1,White,Professionals
anonymous,52.1,White,Professionals
anonymous,52.3,White,Professionals
anonymous,52.5,White,Professionals
anonymous,52.6,White,Professionals
View,52.7,White,Professionals
anonymous,52.8,White,Professionals
anonymous,53.2,White,Professionals
anonymous,53.3,White,Professionals
anonymous,53.4,White,Professionals
anonymous,53.4,White,Professionals
Google,53.5,White,Professionals
Twitter,53.9,White,Professionals
anonymous,53.9,White,Professionals
anonymous,54,White,Professionals
anonymous,54,White,Professionals
anonymous,54,White,Professionals
anonymous,54.4,White,Professionals
anonymous,54.4,White,Professionals
anonymous,54.6,White,Professionals
anonymous,55.3,White,Professionals
anonymous,56,White,Professionals
anonymous,56,White,Professionals
anonymous,56,White,Professionals
anonymous,56.7,White,Professionals
anonymous,56.8,White,Professionals
anonymous,56.9,White,Professionals
Adobe,57.1,White,Professionals
anonymous,57.1,White,Professionals
Lyft,57.2,White,Professionals
Salesforce,57.4,White,Professionals
23andMe,58,White,Professionals
anonymous,58,White,Professionals
anonymous,58.2,White,Professionals
anonymous,58.2,White,Professionals
NetApp,58.3,White,Professionals
anonymous,58.8,White,Professionals
anonymous,58.8,White,Professionals
anonymous,59,White,Professionals
anonymous,59.8,White,Professionals
Square,60.1,White,Professionals
anonymous,60.3,White,Professionals
anonymous,60.9,White,Professionals
anonymous,61,White,Professionals
anonymous,61.2,White,Professionals
anonymous,61.3,White,Professionals
anonymous,61.5,White,Professionals
anonymous,61.6,White,Professionals
anonymous,61.6,White,Professionals
anonymous,62,White,Professionals
anonymous,62.2,White,Professionals
anonymous,63,White,Professionals
anonymous,63.1,White,Professionals
anonymous,63.4,White,Professionals
anonymous,64.2,White,Professionals
anonymous,65.7,White,Professionals
anonymous,66.1,White,Professionals
anonymous,66.3,White,Professionals
anonymous,66.4,White,Professionals
anonymous,66.4,White,Professionals
Sanmina,67.4,White,Professionals
anonymous,67.5,White,Professionals
anonymous,68,White,Professionals
anonymous,68,White,Professionals
anonymous,70.1,White,Professionals
anonymous,70.3,White,Professionals
HPE,71,White,Professionals
anonymous,72.2,White,Professionals
HP Inc.,72.4,White,Professionals
anonymous,73.8,White,Professionals
anonymous,73.9,White,Professionals
anonymous,75.4,White,Professionals
anonymous,75.9,White,Professionals
anonymous,76.5,White,Professionals
anonymous,76.6,White,Professionals
anonymous,77.5,White,Professionals
anonymous,77.8,White,Professionals
anonymous,79.1,White,Professionals
anonymous,80.8,White,Professionals
anonymous,88.8,White,Professionals
anonymous,0,Black_or_African_American,Professionals
anonymous,0,Black_or_African_American,Professionals
anonymous,0,Black_or_African_American,Professionals
anonymous,0,Black_or_African_American,Professionals
anonymous,0,Black_or_African_American,Professionals
anonymous,0,Black_or_African_American,Professionals
anonymous,0,Black_or_African_American,Professionals
anonymous,0.3,Black_or_African_American,Professionals
anonymous,0.3,Black_or_African_American,Professionals
anonymous,0.4,Black_or_African_American,Professionals
anonymous,0.4,Black_or_African_American,Professionals
anonymous,0.5,Black_or_African_American,Professionals
anonymous,0.5,Black_or_African_American,Professionals
anonymous,0.5,Black_or_African_American,Professionals
anonymous,0.6,Black_or_African_American,Professionals
anonymous,0.6,Black_or_African_American,Professionals
anonymous,0.6,Black_or_African_American,Professionals
anonymous,0.7,Black_or_African_American,Professionals
anonymous,0.7,Black_or_African_American,Professionals
eBay,0.8,Black_or_African_American,Professionals
anonymous,0.8,Black_or_African_American,Professionals
anonymous,0.8,Black_or_African_American,Professionals
anonymous,0.9,Black_or_African_American,Professionals
anonymous,0.9,Black_or_African_American,Professionals
Nvidia,0.9,Black_or_African_American,Professionals
anonymous,0.9,Black_or_African_American,Professionals
anonymous,1,Black_or_African_American,Professionals
anonymous,1,Black_or_African_American,Professionals
anonymous,1,Black_or_African_American,Professionals
anonymous,1,Black_or_African_American,Professionals
anonymous,1,Black_or_African_American,Professionals
anonymous,1,Black_or_African_American,Professionals
anonymous,1,Black_or_African_American,Professionals
anonymous,1.1,Black_or_African_American,Professionals
anonymous,1.2,Black_or_African_American,Professionals
anonymous,1.2,Black_or_African_American,Professionals
anonymous,1.3,Black_or_African_American,Professionals
anonymous,1.3,Black_or_African_American,Professionals
anonymous,1.3,Black_or_African_American,Professionals
anonymous,1.3,Black_or_African_American,Professionals
anonymous,1.3,Black_or_African_American,Professionals
anonymous,1.3,Black_or_African_American,Professionals
anonymous,1.3,Black_or_African_American,Professionals
anonymous,1.4,Black_or_African_American,Professionals
anonymous,1.4,Black_or_African_American,Professionals
anonymous,1.4,Black_or_African_American,Professionals
anonymous,1.4,Black_or_African_American,Professionals
anonymous,1.4,Black_or_African_American,Professionals
Adobe,1.4,Black_or_African_American,Professionals
anonymous,1.4,Black_or_African_American,Professionals
anonymous,1.5,Black_or_African_American,Professionals
anonymous,1.5,Black_or_African_American,Professionals
anonymous,1.5,Black_or_African_American,Professionals
anonymous,1.5,Black_or_African_American,Professionals
anonymous,1.5,Black_or_African_American,Professionals
anonymous,1.5,Black_or_African_American,Professionals
anonymous,1.5,Black_or_African_American,Professionals
anonymous,1.5,Black_or_African_American,Professionals
View,1.6,Black_or_African_American,Professionals
anonymous,1.6,Black_or_African_American,Professionals
anonymous,1.6,Black_or_African_American,Professionals
anonymous,1.6,Black_or_African_American,Professionals
anonymous,1.6,Black_or_African_American,Professionals
anonymous,1.6,Black_or_African_American,Professionals
anonymous,1.7,Black_or_African_American,Professionals
anonymous,1.7,Black_or_African_American,Professionals
anonymous,1.7,Black_or_African_American,Professionals
anonymous,1.7,Black_or_African_American,Professionals
Apple,1.7,Black_or_African_American,Professionals
anonymous,1.7,Black_or_African_American,Professionals
Square,1.8,Black_or_African_American,Professionals
anonymous,1.8,Black_or_African_American,Professionals
anonymous,1.8,Black_or_African_American,Professionals
anonymous,1.8,Black_or_African_American,Professionals
anonymous,1.8,Black_or_African_American,Professionals
anonymous,1.8,Black_or_African_American,Professionals
anonymous,1.9,Black_or_African_American,Professionals
anonymous,1.9,Black_or_African_American,Professionals
Google,1.9,Black_or_African_American,Professionals
anonymous,2,Black_or_African_American,Professionals
anonymous,2,Black_or_African_American,Professionals
anonymous,2,Black_or_African_American,Professionals
anonymous,2,Black_or_African_American,Professionals
anonymous,2,Black_or_African_American,Professionals
anonymous,2.1,Black_or_African_American,Professionals
anonymous,2.1,Black_or_African_American,Professionals
anonymous,2.1,Black_or_African_American,Professionals
anonymous,2.1,Black_or_African_American,Professionals
anonymous,2.1,Black_or_African_American,Professionals
anonymous,2.1,Black_or_African_American,Professionals
anonymous,2.1,Black_or_African_American,Professionals
LinkedIn,2.1,Black_or_African_American,Professionals
Intuit,2.1,Black_or_African_American,Professionals
Facebook,2.1,Black_or_African_American,Professionals
anonymous,2.2,Black_or_African_American,Professionals
anonymous,2.2,Black_or_African_American,Professionals
anonymous,2.2,Black_or_African_American,Professionals
anonymous,2.2,Black_or_African_American,Professionals
anonymous,2.2,Black_or_African_American,Professionals
anonymous,2.2,Black_or_African_American,Professionals
anonymous,2.2,Black_or_African_American,Professionals
Uber,2.2,Black_or_African_American,Professionals
Pinterest,2.2,Black_or_African_American,Professionals
anonymous,2.2,Black_or_African_American,Professionals
Salesforce,2.3,Black_or_African_American,Professionals
anonymous,2.3,Black_or_African_American,Professionals
anonymous,2.3,Black_or_African_American,Professionals
anonymous,2.3,Black_or_African_American,Professionals
anonymous,2.3,Black_or_African_American,Professionals
anonymous,2.3,Black_or_African_American,Professionals
anonymous,2.4,Black_or_African_American,Professionals
anonymous,2.4,Black_or_African_American,Professionals
anonymous,2.4,Black_or_African_American,Professionals
Twitter,2.4,Black_or_African_American,Professionals
23andMe,2.4,Black_or_African_American,Professionals
anonymous,2.4,Black_or_African_American,Professionals
anonymous,2.5,Black_or_African_American,Professionals
MobileIron,2.5,Black_or_African_American,Professionals
anonymous,2.5,Black_or_African_American,Professionals
anonymous,2.5,Black_or_African_American,Professionals
anonymous,2.5,Black_or_African_American,Professionals
anonymous,2.5,Black_or_African_American,Professionals
anonymous,2.5,Black_or_African_American,Professionals
anonymous,2.6,Black_or_African_American,Professionals
anonymous,2.6,Black_or_African_American,Professionals
anonymous,2.6,Black_or_African_American,Professionals
anonymous,2.6,Black_or_African_American,Professionals
anonymous,2.6,Black_or_African_American,Professionals
anonymous,2.7,Black_or_African_American,Professionals
Airbnb,2.7,Black_or_African_American,Professionals
anonymous,2.7,Black_or_African_American,Professionals
anonymous,2.8,Black_or_African_American,Professionals
anonymous,2.8,Black_or_African_American,Professionals
anonymous,2.9,Black_or_African_American,Professionals
anonymous,2.9,Black_or_African_American,Professionals
anonymous,3,Black_or_African_American,Professionals
anonymous,3,Black_or_African_American,Professionals
PayPal,3.1,Black_or_African_American,Professionals
anonymous,3.1,Black_or_African_American,Professionals
HP Inc.,3.2,Black_or_African_American,Professionals
anonymous,3.2,Black_or_African_American,Professionals
anonymous,3.2,Black_or_African_American,Professionals
anonymous,3.2,Black_or_African_American,Professionals
anonymous,3.3,Black_or_African_American,Professionals
NetApp,3.4,Black_or_African_American,Professionals
Intel,3.4,Black_or_African_American,Professionals
Lyft,3.5,Black_or_African_American,Professionals
anonymous,3.5,Black_or_African_American,Professionals
anonymous,3.5,Black_or_African_American,Professionals
Cisco,3.6,Black_or_African_American,Professionals
anonymous,3.8,Black_or_African_American,Professionals
anonymous,3.8,Black_or_African_American,Professionals
anonymous,3.8,Black_or_African_American,Professionals
anonymous,3.8,Black_or_African_American,Professionals
anonymous,3.8,Black_or_African_American,Professionals
anonymous,3.9,Black_or_African_American,Professionals
anonymous,4.1,Black_or_African_American,Professionals
anonymous,4.2,Black_or_African_American,Professionals
anonymous,4.2,Black_or_African_American,Professionals
Sanmina,4.4,Black_or_African_American,Professionals
anonymous,4.4,Black_or_African_American,Professionals
anonymous,4.5,Black_or_African_American,Professionals
anonymous,4.8,Black_or_African_American,Professionals
anonymous,5,Black_or_African_American,Professionals
anonymous,5.3,Black_or_African_American,Professionals
anonymous,5.4,Black_or_African_American,Professionals
anonymous,5.9,Black_or_African_American,Professionals
anonymous,6,Black_or_African_American,Professionals
anonymous,6.1,Black_or_African_American,Professionals
HPE,6.4,Black_or_African_American,Professionals
anonymous,6.5,Black_or_African_American,Professionals
anonymous,6.5,Black_or_African_American,Professionals
anonymous,6.8,Black_or_African_American,Professionals
anonymous,7.4,Black_or_African_American,Professionals
anonymous,7.4,Black_or_African_American,Professionals
anonymous,7.5,Black_or_African_American,Professionals
anonymous,15.2,Black_or_African_American,Professionals
anonymous,6.2,Asian,Professionals
anonymous,8.3,Asian,Professionals
anonymous,10.6,Asian,Professionals
anonymous,11,Asian,Professionals
anonymous,11.2,Asian,Professionals
anonymous,11.9,Asian,Professionals
anonymous,12.4,Asian,Professionals
anonymous,12.8,Asian,Professionals
anonymous,13.8,Asian,Professionals
anonymous,14.4,Asian,Professionals
HPE,15.2,Asian,Professionals
HP Inc.,16.2,Asian,Professionals
anonymous,16.4,Asian,Professionals
anonymous,16.7,Asian,Professionals
anonymous,17.1,Asian,Professionals
anonymous,18.5,Asian,Professionals
anonymous,19.1,Asian,Professionals
anonymous,19.6,Asian,Professionals
Sanmina,20.3,Asian,Professionals
anonymous,20.3,Asian,Professionals
anonymous,20.4,Asian,Professionals
anonymous,20.7,Asian,Professionals
anonymous,21,Asian,Professionals
anonymous,21.2,Asian,Professionals
anonymous,21.9,Asian,Professionals
anonymous,22.6,Asian,Professionals
anonymous,22.9,Asian,Professionals
anonymous,23.3,Asian,Professionals
anonymous,23.8,Asian,Professionals
anonymous,24.5,Asian,Professionals
anonymous,25.3,Asian,Professionals
anonymous,25.4,Asian,Professionals
anonymous,25.4,Asian,Professionals
anonymous,25.7,Asian,Professionals
anonymous,25.8,Asian,Professionals
anonymous,25.8,Asian,Professionals
anonymous,26.5,Asian,Professionals
anonymous,26.7,Asian,Professionals
anonymous,26.9,Asian,Professionals
anonymous,26.9,Asian,Professionals
anonymous,27.1,Asian,Professionals
anonymous,27.3,Asian,Professionals
anonymous,27.5,Asian,Professionals
anonymous,28.4,Asian,Professionals
23andMe,28.4,Asian,Professionals
Lyft,28.6,Asian,Professionals
anonymous,28.6,Asian,Professionals
anonymous,29.4,Asian,Professionals
anonymous,29.7,Asian,Professionals
anonymous,30,Asian,Professionals
anonymous,30.3,Asian,Professionals
anonymous,30.4,Asian,Professionals
Square,30.5,Asian,Professionals
anonymous,30.6,Asian,Professionals
anonymous,30.9,Asian,Professionals
anonymous,31.1,Asian,Professionals
anonymous,32,Asian,Professionals
anonymous,32.1,Asian,Professionals
NetApp,32.3,Asian,Professionals
anonymous,32.5,Asian,Professionals
anonymous,32.5,Asian,Professionals
anonymous,32.8,Asian,Professionals
anonymous,33.1,Asian,Professionals
anonymous,33.1,Asian,Professionals
anonymous,33.3,Asian,Professionals
anonymous,33.5,Asian,Professionals
anonymous,33.6,Asian,Professionals
Salesforce,33.6,Asian,Professionals
anonymous,33.7,Asian,Professionals
anonymous,33.7,Asian,Professionals
View,34.9,Asian,Professionals
anonymous,35.1,Asian,Professionals
Adobe,35.2,Asian,Professionals
anonymous,35.5,Asian,Professionals
anonymous,35.9,Asian,Professionals
anonymous,35.9,Asian,Professionals
anonymous,36.2,Asian,Professionals
anonymous,36.3,Asian,Professionals
Twitter,36.6,Asian,Professionals
anonymous,36.6,Asian,Professionals
anonymous,36.7,Asian,Professionals
anonymous,37,Asian,Professionals
anonymous,37.2,Asian,Professionals
anonymous,37.3,Asian,Professionals
anonymous,37.4,Asian,Professionals
anonymous,37.4,Asian,Professionals
anonymous,37.5,Asian,Professionals
Google,37.8,Asian,Professionals
anonymous,38,Asian,Professionals
anonymous,38.4,Asian,Professionals
anonymous,38.9,Asian,Professionals
anonymous,38.9,Asian,Professionals
anonymous,39.2,Asian,Professionals
anonymous,39.2,Asian,Professionals
anonymous,39.3,Asian,Professionals
anonymous,39.4,Asian,Professionals
Airbnb,39.6,Asian,Professionals
anonymous,39.6,Asian,Professionals
anonymous,39.7,Asian,Professionals
anonymous,39.7,Asian,Professionals
anonymous,40,Asian,Professionals
anonymous,40.3,Asian,Professionals
anonymous,40.3,Asian,Professionals
anonymous,40.4,Asian,Professionals
Uber,40.8,Asian,Professionals
Intuit,41,Asian,Professionals
anonymous,41.2,Asian,Professionals
anonymous,41.4,Asian,Professionals
Apple,41.5,Asian,Professionals
anonymous,41.7,Asian,Professionals
anonymous,41.9,Asian,Professionals
anonymous,42.1,Asian,Professionals
anonymous,42.2,Asian,Professionals
Cisco,43,Asian,Professionals
anonymous,43,Asian,Professionals
anonymous,43.1,Asian,Professionals
anonymous,43.4,Asian,Professionals
Facebook,43.8,Asian,Professionals
Pinterest,43.8,Asian,Professionals
Intel,44.2,Asian,Professionals
anonymous,44.3,Asian,Professionals
anonymous,44.4,Asian,Professionals
anonymous,44.7,Asian,Professionals
anonymous,45.1,Asian,Professionals
anonymous,46.4,Asian,Professionals
LinkedIn,46.5,Asian,Professionals
anonymous,46.7,Asian,Professionals
anonymous,46.7,Asian,Professionals
anonymous,46.8,Asian,Professionals
anonymous,47.2,Asian,Professionals
MobileIron,47.3,Asian,Professionals
anonymous,47.6,Asian,Professionals
anonymous,48,Asian,Professionals
anonymous,48.1,Asian,Professionals
anonymous,48.1,Asian,Professionals
anonymous,48.2,Asian,Professionals
PayPal,48.3,Asian,Professionals
anonymous,49,Asian,Professionals
anonymous,49.8,Asian,Professionals
anonymous,49.9,Asian,Professionals
anonymous,50,Asian,Professionals
anonymous,50,Asian,Professionals
anonymous,50.3,Asian,Professionals
anonymous,50.4,Asian,Professionals
anonymous,50.8,Asian,Professionals
